SMILES,Drugbank-ID,CAS Number,Name,Synonyms,Drug Type,Affected Organism,Dosage Form,Dosage Route,Dosage,Indication
N(C1=C([H])C(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])=NC(N([H])[H])=[N+]1[O-])([H])[H],"DB00350
DB08225",38304-91-5,Minoxidil,"2,4-Diamino-6-piperidinopyrimidine 3-oxide
6-Piperidin-1-ylpyrimidine-2,4-diamine 3-oxide
Alostil
Apo-gain
Lonolox
Minossidile
Minoxidil
Minoxidilum
Minoximen
Normoxidil
Regaine
Tricoxidil",small molecule,Humans and other mammals,"Liquid
Solution
Liquid
Solution
Solution
Solution
Solution
Solution
Solution
Aerosol, foam
Tablet
Tablet
Liquid
Aerosol, foam
Tablet
Tablet
Solution
Liquid
Solution
Aerosol, foam","Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Oral
Oral
Topical
Topical
Oral
Oral
Topical
Topical
Topical
Topical","20 mg/mL
20 mg/mL
2 %
3 g/60mL
2 g/100mL
20 mg
5 g/100mL
50 mg/mL
2 %
5 g/100g
10 mg
2.5 mg
50 mg/mL
50 mg/g
10 mg/1
2.5 mg/1
20 g/mL
2 g/100mL
.02 g/mL
5 %",For the treatment of severe hypertension and in the topical treatment (regrowth) of androgenic alopecia in males and females and stabilisation of hair loss in patients with androgenic alopecia.
N(C1=NC(=S)C2=C(N=C(N2[H])[H])N1[H])([H])[H],DB00352,154-42-7,Tioguanine,"2-Amino 6mp
2-Amino-1,7-dihydro-6H-purine-6-thione
2-amino-1,9-Dihydropurine-6-thione
2-amino-1H-purine-6(7H)-thione
2-Amino-6-mercaptopurine
2-Amino-6-merkaptopurin
2-Amino-6-purinethiol
2-Aminopurin-6-thiol
2-aminopurine-6-thiol
2-Aminopurine-6(1H)-thione
6-Mercapto-2-aminopurine
6-Mercaptoguanine
6-TG
6-Thioguanine
TG
ThG
Thioguanine
Tioguanin
Tioguanina
Tioguanine
Tioguaninum",small molecule,Humans and other mammals,"Tablet
Tablet","Oral
Oral","40 mg
40 mg/1",For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.
ClC1=C([H])C2=C(OC(=O)N2[H])C([H])=C1[H],DB00356,95-25-0,Chlorzoxazone,"2-hydroxy-5-chlorobenzoxazole
5-chloro-2-Benzoxazolinone
5-chloro-2-Benzoxazolol
5-chloro-2-Benzoxazolone
5-chloro-2-Hydroxybenzoxazole
5-chloro-2(3H)-benzoxazolone
5-chloro-3H-benzooxazol-2-one
5-Chlorobenzoxazolidone
5-chlorobenzoxazolin-2-one
Chlorzoxane
Chlorzoxazon
Chlorzoxazona
Chlorzoxazone
Chlorzoxazonum
Clorzoxazona
Clorzoxazone",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet
Tablet
Tablet
Tablet","Oral
Occlusive dressing technique
Oral
Oral
Oral
Oral","500 mg/1
250 mg/1
375 mg/1
500 mg/1
750 mg/1",For the relief of discomfort associated with acute painful musculoskeletal conditions.
O(C(C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1[H])[H])(C1=C([H])C(C(F)(F)F)=NC2=C(C(=C(C([H])=C12)[H])[H])C(F)(F)F)[H])[H],DB00358,53230-10-7,Mefloquine,"[(R*,S*)-2,8-bis(trifluoromethyl)quinolin-4-yl]-(2-piperidyl)methanol
alpha-2-Piperidinyl-2,8-bis(trifluoromethyl)-4-quinolinemethanol
Mefloquin
Mefloquina
M��floquine
Mefloquine
Mefloquinum",small molecule,Plasmodium,"Tablet
Tablet","Oral
Oral","250 mg
250 mg/1","For the treatment of mild to moderate acute malaria caused by Mefloquineuine-susceptible strains of <i>Plasmodium falciparum</i> (both chloroquine-susceptible and resistant strains) or by <i>Plasmodium vivax</i>. Also for the prophylaxis of <i>Plasmodium falciparum</i> and <i>Plasmodium vivax</i> malaria infections, including prophylaxis of chloroquine-resistant strains of <i>Plasmodium falciparum</i>."
N(C1=C([H])C([H])=C(S(=O)(=O)N(C2=NC([H])=C([H])C([H])=N2)[H])C([H])=C1[H])([H])[H],DB00359,68-35-9,Sulfadiazine,"2-sulfanilamidopyrimidine
2-sulfanilylaminopyrimidine
4-amino-N-2-pyrimidinylbenzenesulfonamide
N(1)-2-Pyrimidinylsulfanilamide
N(1)-2-Pyrimidylsulfanilamide
N1-2-pyrimidinylsulfanilamide
N1-2-pyrimidylsulfanilamide
Sulfadiazina
Sulfadiazine
Sulfadiazinum
Sulfapyrimidine
Sulphadiazine",small molecule,Enteric bacteria and other eubacteria,"Suspension
Tablet
Suppository
Cream
Tablet
Tablet","Oral
Oral
Vaginal
Vaginal
Oral
Oral","500 mg/1
500.5 mg",For the treatment of rheumatic fever and meningococcal meningitis
C(N1C([H])([H])C([H])([H])N(C2=NC3=C(C(=C(C(Cl)=C3[H])[H])[H])N([H])C3=C2C(=C(C(=C3[H])[H])[H])[H])C([H])([H])C1([H])[H])([H])([H])[H],DB00363,5786-21-0,Clozapine,"Clozapin
Clozapina
Clozapine
Clozapinum",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet
Tablet
Suspension
Tablet
Tablet
Tablet
Tablet
Suspension","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","200 mg/1
50 mg/1
100 mg/1
12.5 mg/1
150 mg/1
200 mg/1
25 mg/1
100 mg/1
25 mg/1
50 mg
100 mg
200 mg
25 mg
50 mg
50 mg/mL",For use in patients with treatment-resistant schizophrenia.
C(C(C(C(C([H])([H])[H])(C(OC(N([H])[H])=O)([H])[H])C(OC(N([H])[H])=O)([H])[H])([H])[H])([H])[H])([H])([H])[H],DB00371,57-53-4,Meprobamate,"Meprobamat
Meprobamato
Meprobamatum
Meprobamic acid",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet
Tablet
Tablet","Oral
Oral
Oral
Oral
Oral","400 mg
200 mg/1
400 mg/1
200 mg",For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.
C(C(SC1=C([H])C2=C(SC3=C(N2C(C(C(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])([H])[H])([H])[H])([H])[H])C([H])=C([H])C([H])=C3[H])C([H])=C1[H])([H])[H])([H])([H])[H],DB00372,1420-55-9,Thiethylperazine,"2-(ethylthio)-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine
Norzine
Thiethylperazin
Thi��thylp��razine
Thiethylperazine
Thiethylperazinum
Tietilperazina",small molecule,Humans and other mammals,,,,For the treatment or relief of nausea and vomiting.
N(C1=C2C(C(C(C([H])([H])C2=NC2=C(C(=C(C([H])=C12)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],DB00382,321-64-2,Tacrine,"1,2,3,4-tetrahydro-9-acridinamine
1,2,3,4-tetrahydro-9-aminoacridine
1,2,3,4-tetrahydroacridin-9-amine
5-amino-6,7,8,9-tetrahydroacridine
9-amino-1,2,3,4-tetrahydroacridine
Tacrin
Tacrine
Tacrinum
Tetrahydroaminacrine
Tetrahydroaminoacridine
THA",small molecule,Humans and other mammals,,,,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.
N(C1=NC2=NC(N([H])[H])=C(N=C2C(N([H])[H])=N1)C1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H],DB00384,396-01-0,Triamterene,"6-phenylpteridine-2,4,7-triamine
Teridin
Triamteren
Triamt��r��ne
Triamterene
Triamtereno
Triamterenum",small molecule,Humans and other mammals,"Capsule
Capsule
Tablet
Tablet
Capsule
Tablet","Oral
Oral
Oral
Oral
Oral
Oral","100 mg/1
50 mg/1
100 mg
50 mg","For the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism."
C(C(OC(=O)N1C([H])=C([H])N(C([H])([H])[H])C1=S)([H])[H])([H])([H])[H],DB00389,22232-54-8,Carbimazole,"1H-Imidazole-1-carboxylic acid, 2,3-dihydro-3-methyl-2-thioxo-, ethyl ester  Ethyl 3-methyl-2-thioimidazoline-1-carboxylate
Athyromazole
Carbethoxymethimazole
Carbimazol
Carbimazolo
Carbimazolum
Carbinazole
Ethyl 3-methyl-2-thioimidazoline-1-carboxylate",small molecule,Humans and other mammals,,,,For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.
C(N(C(=O)C1=NC([H])=C([H])C(OC2=C([H])C([H])=C(N(C(=O)N(C3=C([H])C(C(F)(F)F)=C(Cl)C([H])=C3[H])[H])[H])C([H])=C2[H])=C1[H])[H])([H])([H])[H],"DB00398
DB07438",284461-73-0,Sorafenib,"4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide
N-(4-Chloro-3-(trifluoromethyl)phenyl)-n'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea
Sorafenibum",small molecule,Humans and other mammals,"Tablet
Tablet, film coated
Tablet, film coated","Oral
Oral
Oral","200 mg
200 mg/1
200 mg",Sorafenib is indicated for the treatment of unresectable hepatocellular carcinoma and advanced renal cell carcinoma.  
O(C(C(N1C([H])=C([H])N=C1[H])([H])[H])(P(O[H])(O[H])=O)P(O[H])(O[H])=O)[H],"DB00399
DB06286",118072-93-8,Zoledronic acid,"(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid
(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid
Anhydrous Zoledronic Acid
Zol
Zoledronate
Zoledronic Acid Anhydrous
Zoledronic Acid, Anhydrous",small molecule,Humans and other mammals,"Solution
Injection
Injection
Injection
Injection, solution
Injection, solution
Injection, solution
Injection, solution, concentrate
Injection, solution, concentrate
Kit
Solution
Injection, solution
Injection, solution
Injection, solution, concentrate
Solution
Powder, for solution","Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous
Intravenous","5 mg
4 mg/100mL
4 mg/5mL
5 mg/100mL
.04 mg/mL
.05 mg/mL
5 mg/100mL
.8 mg/mL
4 mg/5mL
5 mg/100mL
4 mg/100ml
5 mg
4 mg/100mL
4 mg
4 mg","For the treatment of hypercalcemia of malignancy. Also for the treatment of patients with multiple myeloma and patients with documented bone metastases from solid tumors, in conjunction with standard antineoplastic therapy. In May of 2007, the drug was approved for treatment of Paget���s Disease."
C(C1=NN=C2C(N=C(C3=C([H])C([H])=C([H])C([H])=C3[H])C3=C(N12)C([H])=C([H])C(Cl)=C3[H])([H])[H])([H])([H])[H],"DB00404
DB05925",28981-97-7,Alprazolam,"8-Chloro-1-methyl-6-phenyl-4H-S-triazolo(4,3-a)(1,4)benzodiazepine
Alprazolam",small molecule,Humans and other mammals,"Solution, concentrate
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, extended release
Kit
Tablet
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet
Tablet
Tablet
Tablet
Tablet","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","1 mg/mL
.25 mg/1
.5 mg/1
0.50 mg
1 mg/1
2 mg/1
.5 mg/1
1 mg/1
2 mg/1
3 mg/1
2 mg
.25 mg/1
.5 mg/1
1 mg/1
2 mg/1
.25 mg
.5 mg
0.25 mg
0.5 mg
1 mg","For the management of anxiety disorder or the short-term relief of symptoms of anxiety and for the treatment of panic disorder, with or without agoraphobia."
C(N(C([H])([H])[H])C1=C([H])C([H])=C(C(C2=C([H])C([H])=C(N(C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])=C2C([H])=C([H])C(=[N+](C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])C([H])=C1[H])([H])([H])[H],DB00406,7438-46-2,Gentian Violet,"Crystal Violet
Crystal violet carbocation
Crystal violet ion(1)
Crystal violet(1+)
Gentian violet carbocation
Gentian violet cation
Gentian violet(1+)
Methylrosaniline
Methylrosanilinium",small molecule,"Yeast and other fungi
Bacteria and protozoa","Tincture
Solution
Liquid
Liquid
Liquid
Liquid
Swab
Solution
Liquid","Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical","1 g/100mL
2 g/100mL
1 g/100mL
1 %
10 mg/mL
20 mg/mL","For the treatment of bacterial and fungal infections inside the mouth (thrush) and skin, also for the prevention of transmission of Chagas' disease (as a blood additive)."
C(N1C([H])([H])C([H])([H])N(C2=NC3=C(C(=C(C(=C3[H])[H])[H])[H])OC3=C2C(=C(Cl)C(=C3[H])[H])[H])C([H])([H])C1([H])[H])([H])([H])[H],DB00408,1977-10-2,Loxapine,"2-Chloro-11-(4-methyl-1-piperazinyl)dibenz[b,f][1,4]oxazepine
Cloxazepine
Loxapina
Loxapine
Loxapinum
oxilapine",small molecule,Humans and other mammals,"Aerosol, powder
Powder, metered
Powder, metered
Liquid
Liquid
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Capsule
Capsule
Capsule
Capsule
Solution
Tablet
Tablet
Tablet
Tablet
Tablet","Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)
Intramuscular
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","10 mg/1
4.5 mg
9.1 mg
50 mg
25 mg
13.6 mg
34 mg
68 mg
6.8 mg
10 mg/1
25 mg/1
5 mg/1
50 mg/1
10 mg/1
25 mg/1
5 mg/1
50 mg/1
25 mg
10 mg
2.5 mg
25 mg
5 mg
50 mg",For the management of the manifestations of psychotic disorders such as schizophrenia
C([N+](C([H])([H])[H])(C([H])([H])[H])C(C(OC(N([H])[H])=O)([H])[H])([H])[H])([H])([H])[H],"DB00411
DB02487",51-83-2,Carbachol,"(2-Carbamoyloxyethyl)trimethylammonium chloride
(2-Hydroxyethyl)trimethyl ammonium chloride carbamate
(2-Hydroxyethyl)trimethylammonium chloride carbamate
2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminium chloride
2-((Aminocarbonyl)oxy)-N,N,N-trimethylethanaminum chloride
Carbachol
Carbachol chloride
Carbacholum
Carbacol
Choline carbamate chloride
Choline chloride, carbamate
Choline chlorine carbamate
Karbachol
Karbamoylcholin chlorid",small molecule,Humans and other mammals,"Liquid
Liquid
Tablet
Solution
Liquid
Liquid
Solution
Solution","Subcutaneous
Intraocular
Oral
Intraocular
Ophthalmic
Ophthalmic
Ophthalmic
Intraocular",".25 mg
0.1 mg
2 mg
0.01 %
1.5 %
3 %
.1 mg/mL
.01 %","Primarily used in the treatment of glaucoma, but is also used during ophthalmic surgery."
C(C(=O)C1=C([H])C([H])=C(S(=O)(=O)N(C(=O)N(C2(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[H])[H])[H])C([H])=C1[H])([H])([H])[H],DB00414,968-81-0,Acetohexamide,"1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea
1-[(4-acetylbenzene)sulfonyl]-3-cyclohexylurea 4-acetyl-N-(cyclohexylcarbamoyl)benzenesulfonamide
Acetohexamid
Acetohexamida
Ac��tohexamide
Acetohexamide
Acetohexamidum
N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea",small molecule,Humans and other mammals,Tablet,Oral,500 mg,Used in the management of diabetes mellitus type 2 (adult-onset).
C(N(C([H])([H])[H])C(C(C(N1C2=C(C(=C(C(=C2[H])[H])[H])[H])SC2=C1C(=C(C(=C2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB00420,58-40-2,Promazine,"10-(3-(Dimethylamino)propyl)phenothiazine
Frenil
N-(3-Dimethylaminopropyl)phenothiazine
N-Dimethylamino-1-methylethyl thiodiphenylamine
N,N-dimethyl-3-(10H-phenothiazin-10-yl)-propan-1-amine
Promazin
Promazina 
Promazine
Promazinum",small molecule,Humans and other mammals,Liquid,Intramuscular; Intravenous,50 mg,Used as an adjunct for short term treatment of moderate and severe psychomotor agitation. Also used to treat agitation or restlessness in the elderly.
C(OC(=O)C(C1(C([H])([H])C([H])([H])C([H])([H])C([H])([H])N1[H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])[H])([H])([H])[H],DB00422,113-45-1,Methylphenidate,"Methyl phenidylacetate
methyl phenyl(piperidin-2-yl)acetate
methyl ��-phenyl-��-(2-piperidyl)acetate
methyl ��-phenyl-��-2-piperidinylacetate
Methylphenidan
Methylphenidatum
Metilfenidato
MPH
��-phenyl-2-piperidineacetic acid methyl ester",small molecule,Humans and other mammals,"Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating
Patch
Patch
Patch
Patch
Capsule, extended release
Tablet, extended release
Solution
Solution
Solution
Solution
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet, chewable
Tablet, chewable
Tablet, chewable
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, extended release
Tablet, film coated, extended release
Tablet, film coated, extended release
Tablet, film coated, extended release
Tablet, film coated, extended release
Tablet, extended release
Capsule
Capsule
Capsule
Capsule
Capsule
Capsule
Tablet, film coated, extended release
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet, chewable, extended release
Tablet, chewable, extended release
Tablet, chewable, extended release
Suspension, extended release
Suspension, extended release
Suspension, extended release
Suspension, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Capsule, extended release
Tablet, extended release","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Transdermal
Transdermal
Transdermal
Transdermal
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","15 mg/1
10 mg
15 mg
20 mg
30 mg
40 mg
50 mg
60 mg
80 mg
18 mg
27 mg
36 mg
54 mg
17.3 mg/1
25.9 mg/1
8.6 mg/1
10 mg/9h
15 mg/9h
20 mg/9h
30 mg/9h
100 mg
25 mg
35 mg
45 mg
55 mg
70 mg
85 mg
50 mg/1
20 mg/1
1 mg/mL
10 mg/5mL
2 mg/mL
5 mg/5mL
10 mg/1
18 mg/1
20 mg/1
27 mg/1
36 mg/1
5 mg/1
54 mg/1
10 mg/1
2.5 mg/1
5 mg/1
18 mg/1
27 mg/1
36 mg/1
54 mg/1
72 mg/1
18 mg/1
27 mg/1
36 mg/1
54 mg/1
10 mg/1
10 mg/1
20 mg/1
30 mg/1
40 mg/1
50 mg/1
60 mg/1
20 mg/1
10.00 mg
20.00 mg
5.00 mg
10 mg
20 mg
5 mg
20 mg/1
30 mg/1
40 mg/1
300 mg/60mL
600 mg/120mL
750 mg/150mL
900 mg/180mL
10 mg/1
20 mg/1
30 mg/1
40 mg/1
60 mg/1
20 mg","For use as an integral part of a total treatment program which typically includes other remedial measures (psychological, educational, social) for a stabilizing effect in children with a behavioral syndrome characterized by the following group of developmentally inappropriate symptoms: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity."
C(N(C([H])([H])[H])C(=O)C(C1=C(C2=C([H])C([H])=C(C([H])([H])[H])C([H])=C2[H])N=C2C(=C(C(C([H])([H])[H])=C([H])N12)[H])[H])([H])[H])([H])([H])[H],DB00425,82626-48-0,Zolpidem,"N,N,6-Trimethyl-2-(4-methylphenyl)imidazo(1,2-a)pyridine-3-acetamide
Zolpidem
Zolpidemum",small molecule,Humans and other mammals,"Tablet
Tablet, coated
Tablet, coated
Tablet, orally disintegrating
Tablet, orally disintegrating
Kit
Tablet
Tablet
Tablet
Tablet
Kit
Tablet
Tablet
Tablet
Tablet
Tablet, coated
Tablet, coated
Tablet, extended release
Tablet, extended release
Tablet, film coated
Tablet, film coated
Tablet, film coated, extended release
Tablet, film coated, extended release
Spray, metered","Oral
Oral
Oral
Sublingual
Sublingual
Sublingual
Sublingual
Oral
Oral
Oral
Oral
Oral
Sublingual
Sublingual
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","6.25 mg/1
12.5 mg/1
6.25 mg/1
10 mg
5 mg
1.75 mg/1
3.5 mg/1
10 mg
5 mg
10 mg/1
5 mg/1
10 mg/1
5 mg/1
10 mg/1
5 mg/1
12.5 mg/1
6.25 mg/1
10 mg/1
5 mg/1
12.5 mg/1
6.25 mg/1
5 mg/1",For the short-term treatment of insomnia.
C(C(=O)OC(C(C(C(N1C([H])=NC2=C(N=C(N([H])[H])N=C12)[H])([H])[H])([H])[H])(C(OC(C([H])([H])[H])=O)([H])[H])[H])([H])[H])([H])([H])[H],DB00426,104227-87-4,Famciclovir,"2-(2-(2-amino-9H-purin-9-yl)ethyl)-1,3-propanediol diacetate
9-[4-acetoxy-3-(acetoxymethyl)but-1-yl]-2-aminopurine
acetic acid 2-acetoxymethyl-4-(2-amino-purin-9-yl)-butyl ester
Famciclovir
Famciclovirum
FCV",small molecule,Human Herpes Virus,"Tablet
Tablet
Tablet
Tablet, film coated
Tablet, film coated
Tablet, film coated
Tablet
Tablet
Tablet","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","125 mg/1
250 mg/1
500 mg/1
125 mg/1
250 mg/1
500 mg/1
125 mg
250 mg
500 mg",For the treatment of acute herpes zoster (shingles). Also for the treatment or suppression of recurrent genital herpes in immunocompetent patients and treatment of recurrent mucocutaneous herpes simplex infections in HIV infected patients.
C(C1=C([H])C([H])=C(C(=C(C(N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])([H])[H])[H])C2=NC([H])=C([H])C([H])=C2[H])C([H])=C1[H])([H])([H])[H],DB00427,486-12-4,Triprolidine,"Tripolidina
Triprolidin
Triprolidine
Triprolidinum",small molecule,Humans and other mammals,"Tablet
Tablet, film coated
Tablet, coated
Syrup
Tablet, chewable
Syrup
Syrup
Syrup
Liquid
Liquid
Liquid","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","2.5 mg/5mL
1.25 mg/1
.938 mg/mL
1.25 mg/mL
.625 mg/mL
.313 mg/mL","For the symptomatic relief of seasonal or perennial allergic rhinitis or nonallergic rhinitis; allergic conjunctivitis; and mild, uncomplicated allergic skin manifestations of urticaria and angioedema. Also used in combination with other agents for the symptomatic relief of symptoms associated with the common cold."
C(N1C([H])([H])C([H])([H])N(C(C(C(N2C3=C(C(=C(C(=C3[H])[H])[H])[H])SC3=C2C(=C(Cl)C(=C3[H])[H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])C1([H])[H])([H])([H])[H],DB00433,58-38-8,Prochlorperazine,"2-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)-phenothiazine
2-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine
3-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)phenothiazine
3-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine
Capazine
Chlormeprazine
Chloro-3 (N-methylpiperazinyl-3 propyl)-10 phenothiazine
Chloropernazine
Emetiral
N-(gamma-(4'-Methylpiperazinyl-1')propyl)-3-chlorophenothiazine
Prochlorperazin
Prochlorp��razine
Prochlorperazinum
Prochlorpermazine
Prochlorpromazine
Procloperazine
Proclorperazina",small molecule,Humans and other mammals,"Suppository
Tablet
Tablet
Suppository
Injection
Injection
Injection
Tablet
Tablet
Tablet
Tablet, film coated
Tablet, film coated
Liquid
Solution
Syrup","Rectal
Oral
Oral
Rectal
Intramuscular
Intramuscular; Intravenous
Intramuscular; Intravenous
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intramuscular; Intravenous
Oral","10 mg
10 mg
5 mg
25 mg/1
5 mg/mL
10 mg/2mL
5 mg/mL
10 mg/1
5 mg/61
5 mg/1
10 mg/1
5 mg/1
5 mg
5 mg
5 mg","For the symptomatic management of psychotic disorders, short term management of nonpsychotic anxiety in patients with generalized anxiety disorder, and for the control of severe nausea and vomiting of various causes."
C(N1C([H])([H])C([H])([H])C(=C2C3=C(C(=C(C(=C3[H])[H])[H])[H])C([H])=C([H])C3=C2C(=C(C(=C3[H])[H])[H])[H])C([H])([H])C1([H])[H])([H])([H])[H],DB00434,129-03-3,Cyproheptadine,"1-methyl-4-(5-dibenzo(a,e)cycloheptatrienylidene)piperidine
1-Methyl-4-(5H-dibenzo(a,d)cycloheptenylidene)piperidine
4-(5-Dibenzo(a,D)cyclohepten-5-ylidine)-1-methylpiperidine
4-(5H-Dibenzo(a,D)cyclohepten-5-ylidene)-1-methylpiperidine
4-Dibenzo[a,D]cyclohepten-5-ylidene-1-methyl-piperidine
5-(1-methylpiperidylidene-4)-5H-dibenzo(a,d)cyclopheptene
Axoprol
Ciproheptadina
Cyproheptadin
Cyproheptadine
Cyproheptadinum
Dihexazin
Glutodina",small molecule,Humans and other mammals,"Solution
Syrup
Tablet
Syrup
Syrup
Tablet","Oral
Oral
Oral
Oral
Oral
Oral","2 mg/5mL
2 mg/5mL
4 mg/1
0.4 mg
2 mg
4 mg","For treatment of perennial and seasonal allergic rhinitis, vasomotor rhinitis, allergic conjunctivitis due to inhalant allergens and foods, mild uncomplicated allergic skin manifestations of urticaria and angioedema, amelioration of allergic reactions to blood or plasma, cold urticaria, dermatographism, and as therapy for anaphylactic reactions adjunctive to epinephrine."
[N]=O |^1:0|,DB00435,10102-43-9,Nitric Oxide,"(.)NO
(NO)(.)
[NO]
EDRF
endothelium-derived relaxing factor
Mononitrogen monoxide
Monoxido de nitrogeno
Monoxyde d'azote
Nitric oxide
nitrogen monooxide
Nitrogen monoxide
Nitrosyl
NO
NO(.)
Oxido de nitrogeno(ii)
Oxido nitrico
Oxyde azotique
Oxyde nitrique
Stickstoff(ii)-oxid
Stickstoffmonoxid",small molecule,Humans and other mammals,"Gas
Gas
Gas
Gas
Inhalant
Inhalant
Gas","Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)
Respiratory (inhalation)",".123 mg/L
.98 mg/L
100 ppm
800 ppm
400 ppm
800 ppm",For the treatment of term and near-term (>34 weeks) neonates with hypoxic respiratory failure
